layer,condition,axis,family,rho
0,natural,between_family,,1.0
0,gc_match,between_family,,0.8227499611593266
0,dinuc_shuffle,between_family,,0.9135988024882312
0,kmer4_shuffle,between_family,,0.9142220675859996
0,kmer6_shuffle,between_family,,0.9179208317795252
0,synonymous_recode,between_family,,0.9651336583202292
0,missense_subset,between_family,,0.9797616387451652
0,paired_p3_syn,between_family,,0.8806702554986413
0,paired_p3_missense,between_family,,0.9316655808891748
1,natural,between_family,,1.0
1,gc_match,between_family,,0.9104975266630294
1,dinuc_shuffle,between_family,,0.9426133332896338
1,kmer4_shuffle,between_family,,0.9537272088938964
1,kmer6_shuffle,between_family,,0.9553720702422652
1,synonymous_recode,between_family,,0.9677996142637436
1,missense_subset,between_family,,0.9840065134275358
1,paired_p3_syn,between_family,,0.930460537599737
1,paired_p3_missense,between_family,,0.9600484355030194
2,natural,between_family,,1.0
2,gc_match,between_family,,0.9834246934312452
2,dinuc_shuffle,between_family,,0.985168263851238
2,kmer4_shuffle,between_family,,0.9879946910137674
2,kmer6_shuffle,between_family,,0.988472400781372
2,synonymous_recode,between_family,,0.9971104394985044
2,missense_subset,between_family,,0.9970394385298248
2,paired_p3_syn,between_family,,0.9936242099992608
2,paired_p3_missense,between_family,,0.9944329203967608
3,natural,between_family,,1.0
3,gc_match,between_family,,0.914473848458683
3,dinuc_shuffle,between_family,,0.9200287294734504
3,kmer4_shuffle,between_family,,0.925312014225076
3,kmer6_shuffle,between_family,,0.9341111428696174
3,synonymous_recode,between_family,,0.9919929685964856
3,missense_subset,between_family,,0.9908718606255332
3,paired_p3_syn,between_family,,0.9786855041857214
3,paired_p3_missense,between_family,,0.973800349924746
4,natural,between_family,,1.0
4,gc_match,between_family,,0.9089317680189332
4,dinuc_shuffle,between_family,,0.9192671746886866
4,kmer4_shuffle,between_family,,0.9199937055617924
4,kmer6_shuffle,between_family,,0.9338529073634178
4,synonymous_recode,between_family,,0.9870462612112264
4,missense_subset,between_family,,0.9851142271978492
4,paired_p3_syn,between_family,,0.9673869942913784
4,paired_p3_missense,between_family,,0.9634282973240312
5,natural,between_family,,1.0
5,gc_match,between_family,,0.9013585431698182
5,dinuc_shuffle,between_family,,0.9120895135264788
5,kmer4_shuffle,between_family,,0.9169373028170078
5,kmer6_shuffle,between_family,,0.9319603369124724
5,synonymous_recode,between_family,,0.9735931076955102
5,missense_subset,between_family,,0.9824467662879708
5,paired_p3_syn,between_family,,0.95806340159086
5,paired_p3_missense,between_family,,0.9528536177242632
6,natural,between_family,,1.0
6,gc_match,between_family,,0.8438546563015511
6,dinuc_shuffle,between_family,,0.8798771465857808
6,kmer4_shuffle,between_family,,0.8883849304641162
6,kmer6_shuffle,between_family,,0.9058809002059984
6,synonymous_recode,between_family,,0.9821639329426454
6,missense_subset,between_family,,0.9825992444634086
6,paired_p3_syn,between_family,,0.964380004608876
6,paired_p3_missense,between_family,,0.9470471648599184
7,natural,between_family,,1.0
7,gc_match,between_family,,0.8362418424761406
7,dinuc_shuffle,between_family,,0.8648158696228242
7,kmer4_shuffle,between_family,,0.8654627459706576
7,kmer6_shuffle,between_family,,0.8673481093049045
7,synonymous_recode,between_family,,0.9776334908927212
7,missense_subset,between_family,,0.975733312000714
7,paired_p3_syn,between_family,,0.96517445963054
7,paired_p3_missense,between_family,,0.9352362473623586
8,natural,between_family,,1.0
8,gc_match,between_family,,0.7794338604154736
8,dinuc_shuffle,between_family,,0.810134421756222
8,kmer4_shuffle,between_family,,0.8178367225538156
8,kmer6_shuffle,between_family,,0.826353720170668
8,synonymous_recode,between_family,,0.9624554536226976
8,missense_subset,between_family,,0.9765723558313713
8,paired_p3_syn,between_family,,0.9344502452351052
8,paired_p3_missense,between_family,,0.9116066785123128
9,natural,between_family,,1.0
9,gc_match,between_family,,0.933728254343864
9,dinuc_shuffle,between_family,,0.936391183632802
9,kmer4_shuffle,between_family,,0.9294602784278074
9,kmer6_shuffle,between_family,,0.9322838963197904
9,synonymous_recode,between_family,,0.991627169799887
9,missense_subset,between_family,,0.9934461390347126
9,paired_p3_syn,between_family,,0.9689792403434796
9,paired_p3_missense,between_family,,0.9722238725757688
10,natural,between_family,,1.0
10,gc_match,between_family,,0.7530368925280613
10,dinuc_shuffle,between_family,,0.7679513265785205
10,kmer4_shuffle,between_family,,0.7831120065698138
10,kmer6_shuffle,between_family,,0.7859182671830665
10,synonymous_recode,between_family,,0.982707476627747
10,missense_subset,between_family,,0.954635832336112
10,paired_p3_syn,between_family,,0.9670483684985726
10,paired_p3_missense,between_family,,0.9104471520944591
11,natural,between_family,,1.0
11,gc_match,between_family,,0.7492631141222181
11,dinuc_shuffle,between_family,,0.7762574115203938
11,kmer4_shuffle,between_family,,0.7960434634954775
11,kmer6_shuffle,between_family,,0.806118444096879
11,synonymous_recode,between_family,,0.9898022057823784
11,missense_subset,between_family,,0.9639209062586384
11,paired_p3_syn,between_family,,0.980229348847374
11,paired_p3_missense,between_family,,0.9281583571091544
12,natural,between_family,,1.0
12,gc_match,between_family,,0.7502783644313173
12,dinuc_shuffle,between_family,,0.7602874275059793
12,kmer4_shuffle,between_family,,0.772850435222059
12,kmer6_shuffle,between_family,,0.7786323738565204
12,synonymous_recode,between_family,,0.9843688424405732
12,missense_subset,between_family,,0.9606591508534976
12,paired_p3_syn,between_family,,0.96970024464566
12,paired_p3_missense,between_family,,0.9067810791147272
13,natural,between_family,,1.0
13,gc_match,between_family,,0.7269374982954168
13,dinuc_shuffle,between_family,,0.7587219113286863
13,kmer4_shuffle,between_family,,0.771385843761315
13,kmer6_shuffle,between_family,,0.7672728961025903
13,synonymous_recode,between_family,,0.9874024365840202
13,missense_subset,between_family,,0.9520605338941752
13,paired_p3_syn,between_family,,0.9759937213472172
13,paired_p3_missense,between_family,,0.8930963029146802
14,natural,between_family,,1.0
14,gc_match,between_family,,0.6955014097270759
14,dinuc_shuffle,between_family,,0.7331000345623888
14,kmer4_shuffle,between_family,,0.7517904961073126
14,kmer6_shuffle,between_family,,0.7483472083149861
