family,spearman_geodesic_speciestree
adam_metallopeptidase,0.3697255779524869
adamts_metallopeptidase,0.47228717508942897
adrenoceptor,0.5946374687368938
alcohol_dehydrogenase,0.17821376484478085
aldehyde_dehydrogenase,0.4016504340353954
aldo_keto_reductase,0.5701274819276555
alkaline_phosphatase,0.5068608242372613
arachidonate_lipoxygenase,0.5189530772455847
arf_gtpase,0.3001398099586325
carbonic_anhydrase,0.21532255029340058
cxc_chemokine_receptor,0.47937039579457014
cytochrome_p450,0.5076010538492648
dopamine_receptor,0.4205370601337902
ectonucleotide_pyrophosphatase,0.3909675346864843
ferritin,0.2076535105598114
flavin_monooxygenase,0.3840369129294647
globins,0.4232850698759239
glutamate_metabotropic,0.3029910465282705
glutaredoxin,0.30487052028163886
glutathione_peroxidase,0.3380111852477685
glutathione_s_transferase,0.26825469377510175
guanylate_binding_protein,0.41258234519104076
heme_oxygenase,0.24703504043126684
histamine_receptor,0.31410161623569877
histone_deacetylase_classI,0.30018901328159936
histone_h4,0.01415830546265329
hox,0.540678581667509
m14_carboxypeptidase,0.3879903338181275
matrix_metalloproteinase,0.45393438549798276
metallothionein,0.3817041372649251
muscarinic_receptor,0.6437602310646847
nadph_oxidase,0.33589551991324823
nitric_oxide_synthase,0.5024511854771717
olfactory_receptors,0.2605044950567037
opsins,0.1900208430279806
p2y_receptor,0.5379456807172331
peroxidase,0.6013708237698987
peroxiredoxin,0.41584794684891635
phosphodiesterase,0.370034321734898
rab_gtpase,0.28524072665251243
ras_gtpases,0.3201218085774341
rho_gtpase,0.389584718676246
serine_protease,0.3534261394418724
serotonin_receptor,0.526066966218983
steap_metalloreductase,0.32071225309141105
sulfotransferase,0.3857416093896347
taste2_receptor,0.40536152476946596
udp_glucuronosyltransferase,0.32984524388267694
