gene,n_aligned_bp,cds_len_human,cds_len_platypus,retained_frac
ENSG00000132196,852,1026,1158,0.8304093567251462
ENSG00000164935,1314,1413,1410,0.929936305732484
ENSG00000137868,1689,2004,1977,0.842814371257485
ENSG00000179988,876,1077,1077,0.8133704735376045
ENSG00000124145,369,597,654,0.6180904522613065
ENSG00000100629,2973,3285,3336,0.9050228310502284
ENSG00000204923,360,468,465,0.7692307692307693
ENSG00000168874,522,966,1047,0.5403726708074534
ENSG00000115568,3474,5664,5697,0.6133474576271186
ENSG00000213563,501,651,672,0.7695852534562212
ENSG00000134247,2244,2640,2721,0.85
ENSG00000172244,1704,1917,1950,0.8888888888888888
ENSG00000168038,3021,3828,3333,0.7891849529780565
ENSG00000072201,1734,2187,2334,0.7928669410150891
ENSG00000138075,1902,1956,1995,0.97239263803681
ENSG00000181544,2196,2580,2577,0.8511627906976744
ENSG00000007908,1431,1833,1611,0.7806873977086743
ENSG00000105321,942,1596,1815,0.5902255639097744
ENSG00000173627,966,1104,1110,0.875
ENSG00000171357,381,720,822,0.5291666666666667
ENSG00000163462,1470,2280,1614,0.6447368421052632
ENSG00000135409,1155,1722,1623,0.6707317073170732
ENSG00000117362,459,798,840,0.575187969924812
ENSG00000161618,2202,2409,2514,0.9140722291407224
ENSG00000168016,7896,8910,9066,0.8861952861952862
ENSG00000170955,525,786,873,0.6679389312977099
ENSG00000133048,993,1152,1152,0.8619791666666666
ENSG00000178057,486,555,558,0.8756756756756757
ENSG00000186871,2865,3753,3858,0.7633892885691447
ENSG00000198894,1020,1200,1200,0.85
ENSG00000135541,2826,3591,3762,0.7869674185463659
ENSG00000169679,2727,3258,3369,0.8370165745856354
ENSG00000105852,1032,1065,1065,0.9690140845070424
ENSG00000113621,864,1083,1383,0.7977839335180056
ENSG00000132780,1545,2367,2166,0.6527249683143219
ENSG00000107771,2664,3144,3162,0.8473282442748091
ENSG00000120915,1536,1668,1680,0.920863309352518
ENSG00000056972,1512,1698,1692,0.8904593639575972
ENSG00000148384,1662,1935,2049,0.8589147286821706
ENSG00000136933,996,1119,1224,0.8900804289544236
ENSG00000177548,1248,1710,1797,0.7298245614035088
ENSG00000187550,900,1047,1029,0.8595988538681948
ENSG00000102098,1746,2103,2118,0.8302425106990015
ENSG00000164342,2616,2715,2718,0.96353591160221
ENSG00000133131,2238,2814,3105,0.7953091684434968
ENSG00000114248,1536,1659,1689,0.9258589511754068
ENSG00000143502,924,1473,1134,0.6272912423625254
ENSG00000173818,582,849,642,0.6855123674911661
ENSG00000109943,960,1182,1314,0.8121827411167513
ENSG00000183208,951,1158,1128,0.8212435233160622
ENSG00000136114,2241,2559,2577,0.8757327080890973
ENSG00000119431,669,756,747,0.8849206349206349
ENSG00000124688,750,825,795,0.9090909090909092
ENSG00000205177,282,582,453,0.4845360824742268
ENSG00000144488,2121,3018,2823,0.7027833001988072
ENSG00000163946,4089,5013,5241,0.8156792339916218
ENSG00000181004,1830,2133,2148,0.8579465541490858
ENSG00000177943,2595,3414,3819,0.7601054481546573
ENSG00000121940,1254,1656,1758,0.7572463768115942
ENSG00000128408,999,1149,1125,0.8694516971279374
ENSG00000248487,699,816,741,0.8566176470588235
ENSG00000185187,810,1233,1248,0.656934306569343
ENSG00000204767,1410,1608,1617,0.8768656716417911
ENSG00000120451,2019,2979,2805,0.6777442094662638
ENSG00000186532,2193,2415,2400,0.9080745341614906
ENSG00000099814,2949,4665,4884,0.6321543408360129
ENSG00000155363,2496,3012,3012,0.8286852589641435
ENSG00000183479,669,711,723,0.940928270042194
ENSG00000135587,1017,1272,1260,0.7995283018867925
ENSG00000179943,948,1491,1422,0.635814889336016
ENSG00000161031,1209,1731,1647,0.6984402079722704
ENSG00000160888,381,672,732,0.5669642857142857
ENSG00000023516,4764,5706,5697,0.8349106203995794
ENSG00000130055,1341,1620,1590,0.8277777777777777
ENSG00000143321,450,723,708,0.6224066390041494
ENSG00000196639,1098,1464,1704,0.75
ENSG00000108375,1701,2352,2271,0.7232142857142857
ENSG00000165282,2271,3270,2991,0.6944954128440367
ENSG00000172671,1722,2184,2277,0.7884615384615384
ENSG00000136235,1479,1683,1710,0.8787878787878788
ENSG00000144115,1368,1455,1482,0.9402061855670104
ENSG00000188811,930,1044,1086,0.8908045977011494
ENSG00000164761,1146,1206,1401,0.9502487562189056
ENSG00000167992,2322,2868,2958,0.8096234309623431
ENSG00000111906,447,615,792,0.7268292682926829
ENSG00000128881,3273,3735,3687,0.8763052208835341
ENSG00000122068,750,957,930,0.7836990595611285
ENSG00000100239,2235,2880,3081,0.7760416666666666
ENSG00000106624,2652,3477,3291,0.7627264883520276
ENSG00000255072,183,216,216,0.8472222222222222
ENSG00000110756,3006,3390,3561,0.8867256637168142
ENSG00000213024,1146,1569,1842,0.7304015296367112
ENSG00000114491,1299,1443,1452,0.9002079002079002
ENSG00000122203,756,918,870,0.8235294117647058
ENSG00000076242,1830,2271,2352,0.8058124174372523
ENSG00000148225,1038,1104,1101,0.9402173913043478
ENSG00000163235,393,483,555,0.8136645962732919
ENSG00000135272,657,741,732,0.8866396761133604
ENSG00000235118,426,546,537,0.7802197802197802
ENSG00000087303,3498,4128,4236,0.8473837209302325
ENSG00000116096,708,786,807,0.900763358778626
ENSG00000153975,1560,1737,2247,0.8981001727115717
ENSG00000005175,1881,1998,2271,0.9414414414414416
ENSG00000215906,1491,1740,1767,0.8568965517241379
ENSG00000178460,1908,2046,2046,0.9325513196480938
ENSG00000183751,2184,2427,2442,0.899876390605686
ENSG00000107719,2373,2571,2691,0.9229871645274212
ENSG00000131944,537,648,651,0.8287037037037037
ENSG00000118363,522,681,621,0.7665198237885462
ENSG00000160111,5142,5658,5712,0.9088016967126192
ENSG00000143819,1254,1368,1599,0.9166666666666666
ENSG00000134917,2289,2670,2736,0.8573033707865169
ENSG00000125734,1281,1632,1638,0.7849264705882353
ENSG00000166780,435,615,717,0.7073170731707317
ENSG00000105982,888,1089,1092,0.8154269972451791
ENSG00000101447,1539,1758,1800,0.8754266211604096
ENSG00000130731,582,615,615,0.946341463414634
ENSG00000074047,3720,4710,4689,0.7898089171974523
ENSG00000198363,1890,2277,2532,0.8300395256916996
ENSG00000197448,576,681,624,0.8458149779735683
ENSG00000149573,507,648,633,0.7824074074074074
ENSG00000140931,429,549,522,0.7814207650273224
ENSG00000069849,777,840,843,0.925
ENSG00000147679,630,750,963,0.84
ENSG00000101190,1035,1503,1623,0.688622754491018
ENSG00000146233,1314,1410,1410,0.9319148936170212
ENSG00000128272,810,1056,1113,0.7670454545454546
ENSG00000187535,3924,4389,4143,0.8940533151059467
ENSG00000198570,525,588,594,0.8928571428571429
ENSG00000092036,1029,1092,1098,0.9423076923076924
ENSG00000105639,3174,3375,3345,0.9404444444444444
ENSG00000014138,1470,1797,2283,0.8180300500834724
ENSG00000147813,1467,1617,1587,0.907235621521336
ENSG00000064309,3453,3795,3840,0.9098814229249012
