family,gene,n_species,human_len_bp,n_diag_platypus,n_diag_opossum,n_auto_platypus,n_auto_opossum,n_diag_deep_sum,aa_frac_platypus,indel_frac_platypus,indel_frac_deep_max,n_diag_divergent_mean,nearest_primate,n_diag_nearest_primate,grad_ratio,has_platypus,has_opossum,has_elephant,has_armadillo,ndiag_chimp,ndiag_mouse,ndiag_cow,ndiag_armadillo,ndiag_elephant,ndiag_opossum,ndiag_platypus,ladder,composite,rank,selected
nitric_oxide_synthase,NOS3,21,3612,569,652,180,203,1221,0.34797891036906853,0.00830564784053156,0.00913621262458475,374.625,chimp,16,0.028119507908611598,True,True,False,True,16.0,422.0,376.0,239.0,,652,569,chimp(8):16;orangutan(21):55;macaque(42):92;marmoset(64):175;guineapig(156):366;rat(156):424;mouse(156):422;rabbit(156):299;cow(169):376;sheep(169):348;pig(169):305;goat(169):338;bat(169):313;ferret(169):330;panda(169):310;cat(169):319;horse(169):384;armadillo(180):239;opossum(319):652;platypus(378):569,3.0927435259571325,1,True
adamts_metallopeptidase,ADAMTS1,16,2904,844,645,431,277,1489,0.5556872037914692,0.07851239669421484,0.07851239669421484,518.6,chimp,7,0.008293838862559242,True,True,False,True,7.0,529.0,453.0,419.0,,645,844,chimp(8):7;gorilla(11):25;orangutan(21):60;macaque(42):71;marmoset(64):139;rat(156):513;mouse(156):529;rabbit(156):369;cow(169):453;sheep(169):478;goat(169):498;ferret(169):438;armadillo(180):419;opossum(319):645;platypus(378):844,3.0385159905838175,2,True
m14_carboxypeptidase,AGBL5,21,2661,649,569,264,257,1218,0.5855161787365177,0.08342728297632473,0.08342728297632473,313.4375,gorilla,8,0.012326656394453005,True,True,True,True,,275.0,271.0,245.0,221.0,569,649,gorilla(11):8;orangutan(21):20;macaque(42):55;marmoset(64):102;guineapig(156):307;rat(156):337;mouse(156):275;rabbit(156):295;cow(169):271;sheep(169):275;pig(169):302;goat(169):277;dog(169):245;panda(169):270;cat(169):267;horse(169):210;armadillo(180):245;elephant(183):221;opossum(319):569;platypus(378):649,2.9475301594334726,3,True
ectonucleotide_pyrophosphatase,ENPP3,16,2628,693,687,248,256,1380,0.6363636363636364,0.011415525114155223,0.011415525114155223,441.54545454545456,chimp,12,0.017316017316017316,True,True,False,False,12.0,471.0,368.0,,,687,693,chimp(8):12;orangutan(21):38;macaque(42):70;marmoset(64):116;rat(156):501;mouse(156):471;cow(169):368;sheep(169):374;pig(169):346;goat(169):372;dog(169):343;panda(169):362;cat(169):340;opossum(319):687;platypus(378):693,2.850414925673651,4,True
adamts_metallopeptidase,ADAMTS16,15,3675,815,876,185,235,1691,0.5006134969325153,0.04081632653061229,0.04081632653061229,666.2727272727273,orangutan,77,0.09447852760736196,True,True,False,False,,671.0,633.0,,,876,815,orangutan(21):77;macaque(42):170;marmoset(64):251;rat(156):674;mouse(156):671;cow(169):633;sheep(169):654;pig(169):645;goat(169):656;dog(169):554;cat(169):578;horse(169):573;opossum(319):876;platypus(378):815,2.642870607496789,5,False
cytochrome_p450,CYP24A1,22,1545,435,358,144,90,793,0.6114942528735632,0.001941747572815511,0.003883495145631022,232.2941176470588,chimp,14,0.03218390804597701,True,True,True,True,14.0,292.0,200.0,177.0,176.0,358,435,chimp(8):14;orangutan(21):23;macaque(42):37;marmoset(64):81;guineapig(156):264;rat(156):311;mouse(156):292;rabbit(156):211;cow(169):200;sheep(169):206;pig(169):197;goat(169):210;dog(169):178;ferret(169):181;panda(169):183;cat(169):193;horse(169):177;armadillo(180):177;elephant(183):176;opossum(319):358;platypus(378):435,2.5912557350854453,6,False
m14_carboxypeptidase,AEBP1,16,3477,707,770,246,264,1477,0.5954738330975955,0.09232096635030196,0.09232096635030196,504.0,orangutan,50,0.07072135785007072,True,True,True,False,,544.0,444.0,,515.0,770,707,orangutan(21):50;marmoset(64):167;guineapig(156):472;rat(156):529;mouse(156):544;cow(169):444;sheep(169):450;pig(169):393;goat(169):452;dog(169):439;cat(169):441;horse(169):396;elephant(183):515;opossum(319):770;platypus(378):707,2.289932495967268,7,False
serine_protease,CFI,16,1752,594,518,224,153,1112,0.7171717171717171,0.015410958904109595,0.015410958904109595,368.9166666666667,orangutan,37,0.06228956228956229,True,True,False,True,,406.0,337.0,252.0,,518,594,orangutan(21):37;macaque(42):180;marmoset(64):125;rat(156):398;mouse(156):406;cow(169):337;sheep(169):332;pig(169):285;goat(169):330;dog(169):333;cat(169):307;horse(169):335;armadillo(180):252;opossum(319):518;platypus(378):594,2.2896421184908746,8,False
serine_protease,PRSS35,22,1242,337,298,83,82,635,0.5667655786350149,0.007246376811594235,0.007246376811594235,209.58823529411765,chimp,9,0.026706231454005934,True,True,True,True,9.0,266.0,212.0,166.0,118.0,298,337,chimp(8):9;gorilla(11):6;orangutan(21):22;macaque(42):39;guineapig(156):253;rat(156):262;mouse(156):266;rabbit(156):188;cow(169):212;sheep(169):216;pig(169):196;goat(169):210;bat(169):211;dog(169):137;ferret(169):150;cat(169):183;horse(169):160;armadillo(180):166;elephant(183):118;opossum(319):298;platypus(378):337,2.166718273829056,9,True
cytochrome_p450,CYP27B1,24,1527,415,406,157,126,821,0.6096385542168675,0.058939096267190516,0.058939096267190516,241.33333333333334,chimp,9,0.021686746987951807,True,True,True,True,9.0,285.0,194.0,212.0,211.0,406,415,chimp(8):9;gorilla(11):12;orangutan(21):22;macaque(42):53;marmoset(64):71;guineapig(156):243;rat(156):288;mouse(156):285;rabbit(156):231;cow(169):194;sheep(169):193;pig(169):192;goat(169):195;bat(169):190;dog(169):192;ferret(169):211;panda(169):191;cat(169):270;horse(169):225;armadillo(180):212;elephant(183):211;opossum(319):406;platypus(378):415,2.150084471268554,10,False
