gene,status,fr_status,yn_status,n_taxa,n_codons,yn_n_pairs,dN_hp_yn,dS_hp_yn,omega_hp_yn,dN_background_yn,dS_background_yn,omega_background_yn,yn_n_background_pairs,lnL_m0,np_m0,omega_m0,kappa_m0,tree_len_m0,tree_dN_m0,tree_dS_m0,dN_human_m0,dS_human_m0,omega_human_m0,dN_platypus_m0,dS_platypus_m0,omega_platypus_m0,dN_background_m0,dS_background_m0,omega_background_m0,n_branches_m0,lnL_m2,np_m2,tree_dN_m2,tree_dS_m2,omega_bg_m2,omega_plat_m2,dN_human_m2,dS_human_m2,omega_human_m2,dN_platypus_m2,dS_platypus_m2,omega_platypus_m2,dN_background_m2,dS_background_m2,omega_background_m2,n_branches_m2,lrt_m2_vs_m0,lrt_p_m2_vs_m0,m2_converged,dS_saturated
ENSG00000003393,ok,not_requested,ok,24,1649,276.0,0.2763,1.6848,0.164,0.07986103896103897,0.367212987012987,0.206,231.0,-31543.484726,48,0.11885,2.93335,4.653728,0.5008,4.2143,0.0004,0.0034,0.1188,0.0136,0.1141,0.1188,0.4872,4.0968,0.11892208553016989,46,-31543.484729,49.0,0.5008,4.2143,0.11885,7.59619,0.0004,0.0034,0.1188,0.0,0.0,7.5962,0.5008,4.211,0.11892662075516504,46.0,-6.000002031214535e-06,1.0,True,False
ENSG00000004534,timeout(3600s),not_requested,ok,24,1108,276.0,0.1583,0.9506,0.1665,0.0621017316017316,0.3164753246753247,0.1865,231.0,-20068.434635,48,0.17576,2.72806,3.635702,0.538,3.0608,0.0003,0.0015,0.1758,0.0088,0.0502,0.1758,0.5285,3.0093,0.17562223772970456,46,,,,,,,,,,,,,,,,,,,,
ENSG00000005175,ok,not_requested,ok,23,660,253.0,0.2208,0.863,0.2559,0.09157333333333334,0.38169761904761906,0.24295,210.0,-13946.963529,46,0.18314,2.90242,5.241962,0.838,4.5759,0.0012,0.0067,0.1831,0.0036,0.0197,0.1831,0.833,4.5496,0.18309301916652013,44,-13941.833525,47.0,0.8333,4.7937,0.19211,0.04738,0.0013,0.0065,0.1921,0.0287,0.6051,0.0474,0.8032,4.1821,0.1920566222711078,44.0,10.260008000001108,0.001359450904750258,True,False
ENSG00000007908,ok,not_requested,ok,23,610,253.0,0.2953,1.773,0.1665,0.17428142857142856,0.6749114285714286,0.2803,210.0,-17911.867395,46,0.33239,2.73233,8.12623,1.7508,5.2671,0.0028,0.0085,0.3324,0.0754,0.2269,0.3324,1.6726,5.0317,0.3324125047200748,44,-17908.119415,47.0,1.7455,5.3841,0.34167,0.0001,0.0029,0.0084,0.3417,0.0,0.2752,0.0001,1.7424,5.1007,0.34160017252533964,44.0,7.495960000000196,0.006183755826087524,True,False
ENSG00000008952,ok,not_requested,ok,23,398,253.0,0.0536,0.808,0.0663,0.02030095238095238,0.2711928571428571,0.0713,210.0,-5820.672339,46,0.07452,1.68629,2.82588,0.2434,3.2662,0.0,0.0,0.0745,0.0215,0.2888,0.0745,0.2217,2.9776,0.07445593766792048,44,-5820.67234,47.0,0.2434,3.2662,0.07452,0.69574,0.0,0.0,0.0745,0.0,0.0,0.6957,0.2433,3.2664,0.07448567229977957,44.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000010292,timeout(3600s),not_requested,ok,24,1390,276.0,0.2099,1.4975,0.1401,0.06969220779220779,0.43385367965367966,0.1659,231.0,-31198.427841,48,0.16319,3.30823,5.773054,0.7867,4.8206,0.0008,0.0049,0.1632,0.0408,0.2502,0.1632,0.7451,4.5653,0.16320942763892846,46,,,,,,,,,,,,,,,,,,,,
ENSG00000012171,ok,not_requested,ok,23,747,253.0,0.154,1.9078,0.0807,0.06419333333333334,0.8158780952380953,0.07680000000000001,210.0,-16686.86473,46,0.09036,3.60514,6.048661,0.5961,6.5966,0.0008,0.009,0.0904,0.0,0.0,0.0904,0.5952,6.5876,0.0903515696156415,44,-16685.735416,47.0,0.5958,6.6907,0.09188,0.0001,0.0008,0.009,0.0919,0.0,0.206,0.0001,0.595,6.4756,0.09188337760207547,44.0,2.2586280000032275,0.13287173273211675,True,False
ENSG00000012232,ok,not_requested,ok,24,916,276.0,0.1112,4.5811,0.0243,0.017971861471861472,0.6024194805194806,0.0275,231.0,-16195.685422,48,0.03628,3.32803,6.180213,0.2612,7.2002,0.0003,0.0093,0.0363,0.0073,0.202,0.0363,0.2538,6.989,0.036314208041207614,46,-16195.685423,49.0,0.2612,7.2002,0.03628,0.07808,0.0003,0.0093,0.0363,0.0,0.0,0.0781,0.2611,7.191,0.03630927548324294,46.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000014138,ok,not_requested,ok,24,590,276.0,0.1898,1.2829,0.148,0.08405930735930736,0.5308398268398269,0.1612,231.0,-14962.789716,48,0.16668,2.93761,6.462104,0.919,5.5137,0.0007,0.0044,0.1667,0.0317,0.1904,0.1667,0.8865,5.3192,0.1666604000601594,46,-14960.613828,49.0,0.9183,5.6467,0.1706,0.0001,0.0007,0.0044,0.1706,0.0,0.2642,0.0001,0.9174,5.3783,0.1705743450532696,46.0,4.351775999999518,0.03697037342219138,True,False
ENSG00000020426,ok,not_requested,ok,24,308,276.0,0.0416,1.7605,0.0236,0.010396969696969696,0.2766034632034632,0.0345,231.0,-5834.31423,48,0.10092,1.61902,4.572399,0.4908,4.863,0.0004,0.0035,0.1009,0.0355,0.3519,0.1009,0.4549,4.508,0.10090949423247561,46,-5814.530945,49.0,0.4899,5.3673,0.11984,0.01364,0.0004,0.0033,0.1198,0.0197,1.444,0.0136,0.4701,3.92,0.11992346938775511,46.0,39.56656999999905,3.170646922840547e-10,True,False
ENSG00000020922,ok,not_requested,ok,24,706,276.0,0.0581,0.9582,0.0606,0.04485281385281385,0.43767099567099566,0.1048,231.0,-14120.463775,48,0.12583,2.66316,4.348979,0.5312,4.2215,0.0004,0.0029,0.1258,0.0264,0.2097,0.1258,0.5046,4.0092,0.12586052080215507,46,-14120.463777,49.0,0.5312,4.2215,0.12583,2.86428,0.0004,0.0029,0.1258,0.0,0.0,2.8643,0.531,4.2189,0.1258621915665221,46.0,-4.0000013541430235e-06,1.0,True,False
ENSG00000021776,ok,not_requested,ok,24,1474,276.0,0.1001,5.0948,0.0197,0.029873160173160173,0.40174112554112557,0.0643,231.0,-25407.36258,48,0.07271,2.83755,4.510269,0.3354,4.6132,0.0002,0.0029,0.0727,0.0579,0.7964,0.0727,0.2775,3.814,0.0727582590456214,46,-25362.832098,49.0,0.3304,5.5399,0.08509,0.02607,0.0002,0.0028,0.0851,0.0623,2.3891,0.0261,0.26789999999999997,3.1481,0.08509894857215462,46.0,89.06096400000388,3.828311228102781e-21,True,False
ENSG00000022567,ok,not_requested,ok,23,758,253.0,0.085,3.1353,0.0271,0.0733952380952381,1.5856061904761904,0.0455,210.0,-17456.91257,46,0.07262,3.38996,6.640415,0.703,9.6812,0.0024,0.0324,0.0726,0.0061,0.0838,0.0726,0.6946,9.565,0.07261892315734449,44,-17456.91257,47.0,0.703,9.6812,0.07262,27.10142,0.0024,0.0324,0.0726,0.0,0.0,27.1014,0.7007,9.6488,0.07262042948345908,44.0,0.0,1.0,True,False
ENSG00000023318,ok,not_requested,ok,24,391,276.0,0.0748,1.035,0.0723,0.03993939393939394,0.3469562770562771,0.0886,231.0,-7248.864404,48,0.1518,1.88013,3.711753,0.5318,3.503,0.0,0.0,0.1518,0.0196,0.1288,0.1518,0.512,3.3737,0.15176216023949968,46,-7236.073388,49.0,0.5306,3.5668,0.16853,0.0001,0.0,0.0,0.1685,0.0,0.4186,0.0001,0.5307,3.1481,0.16857787236745972,46.0,25.582032000000254,4.2396900447215146e-07,True,False
ENSG00000023516,ok,not_requested,ok,23,1892,253.0,0.3031,0.9606,0.3155,0.12145238095238095,0.4519361904761905,0.269,210.0,-47710.42432,46,0.28352,3.19887,5.900852,1.2014,4.2373,0.0023,0.008,0.2835,0.035,0.1234,0.2835,1.164,4.1057,0.28350829334827193,44,-47706.870208,47.0,1.1971,4.2904,0.28852,0.0001,0.0023,0.008,0.2885,0.0,0.1413,0.0001,1.1949,4.1415,0.288518652662079,44.0,7.108223999995971,0.0076731093527914,True,False
ENSG00000034677,ok,not_requested,ok,23,826,253.0,0.0567,1.1948,0.0474,0.017286190476190476,0.27131285714285713,0.058300000000000005,210.0,-11541.39965,46,0.07041,3.36999,2.899176,0.2221,3.1537,0.0002,0.0028,0.0704,0.0257,0.3656,0.0704,0.1965,2.7853,0.07054895343410046,44,-11534.458529,47.0,0.219,3.2356,0.07721,0.0001,0.0002,0.0027,0.0772,0.0,0.4001,0.0001,0.2186,2.8328,0.07716746681728325,44.0,13.882241999999678,0.000194628752452799,True,False
ENSG00000036257,ok,not_requested,ok,23,755,253.0,0.0026,0.4162,0.0063,0.0015480952380952382,0.23459095238095237,0.0052499999999999995,210.0,-7983.187461,46,0.01932,2.18545,1.605188,0.0402,2.0795,0.0001,0.0036,0.0193,0.0017,0.0864,0.0193,0.0384,1.9896,0.019300361881785282,44,-7979.679065,47.0,0.0402,2.0816,0.02096,0.0001,0.0001,0.0036,0.021,0.0,0.1644,0.0001,0.0398,1.9136,0.020798494983277592,44.0,7.0167920000003505,0.008074877484267273,True,False
ENSG00000040199,ok,not_requested,ok,23,1314,253.0,0.0752,0.6662,0.1129,0.03615904761904762,0.34898809523809526,0.10555,210.0,-23704.515863,46,0.09948,3.15077,3.943376,0.3684,3.7027,0.0006,0.0065,0.0995,0.024,0.2408,0.0995,0.3439,3.4552,0.09953114146793239,44,-23702.271291,47.0,0.3681,3.7221,0.1024,0.07656,0.0007,0.0064,0.1024,0.0385,0.5028,0.0766,0.3288,3.2125,0.10235019455252918,44.0,4.489143999999214,0.03411075353847192,True,False
ENSG00000042286,ok,not_requested,ok,23,372,253.0,0.1376,1.3885,0.0991,0.1027647619047619,0.7575828571428571,0.13174999999999998,210.0,-9205.647648,46,0.12522,3.19128,6.352591,0.8429,6.7314,0.0018,0.0148,0.1252,0.0093,0.0746,0.1252,0.8314,6.6422,0.12516937159374908,44,-9205.647648,47.0,0.8429,6.7314,0.12522,0.41965,0.0018,0.0148,0.1252,0.0,0.0,0.4197,0.8407,6.7167,0.12516563193234773,44.0,0.0,1.0,True,False
ENSG00000054148,ok,not_requested,ok,17,124,136.0,0.1239,1.9945,0.0621,0.07635904761904762,1.324822857142857,0.0447,105.0,-2139.952437,34,0.06336,3.17824,5.852183,0.5099,8.0476,0.0016,0.025,0.0634,0.0168,0.2649,0.0634,0.4915,7.7579,0.063354773843437,32,-2139.790221,35.0,0.5108,8.1726,0.06452,0.0001,0.0016,0.0249,0.0645,0.0,0.2557,0.0001,0.5092,7.8919,0.0645218515186457,32.0,0.3244319999994332,0.5689562699394646,True,False
ENSG00000056972,ok,not_requested,ok,23,551,253.0,0.2307,0.9211,0.2505,0.10128190476190477,0.32626190476190475,0.3103,210.0,-13215.266848,46,0.31635,3.19129,5.608464,1.1365,3.5925,0.0011,0.0033,0.3163,0.061,0.1929,0.3163,1.0745,3.3963,0.3163737007920384,44,-13211.377208,47.0,1.1331,3.6988,0.33013,0.16693,0.0011,0.0033,0.3301,0.09,0.5393,0.1669,1.0418,3.1563,0.3300700186927732,44.0,7.779279999998835,0.0052848856183813665,True,False
ENSG00000061938,ok,not_requested,ok,24,1086,276.0,0.0616,2.1108,0.0292,0.03787965367965368,0.7183909090909091,0.0347,231.0,-23141.110126,48,0.07964,3.53544,5.796344,0.535,6.7172,0.0008,0.0103,0.0796,0.0063,0.079,0.0796,0.5278,6.6279,0.07963306628042065,46,-23141.110126,49.0,0.535,6.7172,0.07964,0.50766,0.0008,0.0103,0.0796,0.0,0.0,0.5077,0.5341,6.707,0.07963321902489937,46.0,0.0,1.0,True,False
ENSG00000062598,ok,not_requested,ok,24,720,276.0,0.0551,4.4958,0.0123,0.014641558441558442,0.47454242424242427,0.0124,231.0,-11080.18624,48,0.02671,2.86613,4.905599,0.174,6.5141,0.0002,0.0074,0.0267,0.0102,0.3816,0.0267,0.1634,6.1254,0.026675808926763966,46,-11080.18624,49.0,0.174,6.514,0.02671,0.05489,0.0002,0.0074,0.0267,0.0,0.0,0.0549,0.1736,6.507,0.026678961118795145,46.0,0.0,1.0,True,False
ENSG00000064309,timeout(3600s),not_requested,ok,24,1245,276.0,0.1893,2.1675,0.0873,0.08814372294372294,0.46308354978354976,0.1936,231.0,-30879.928515,48,0.1949,3.72052,6.17455,0.932,4.7818,0.0033,0.0168,0.1949,0.0073,0.0377,0.1949,0.9216,4.7275,0.19494447382337388,46,,,,,,,,,,,,,,,,,,,,
ENSG00000066827,ok,not_requested,ok,24,1241,276.0,0.1274,4.7936,0.0266,0.04991038961038961,0.7269324675324675,0.0639,231.0,-29993.813076,48,0.11364,2.53523,6.659624,0.8062,7.0945,0.0008,0.007,0.1136,0.0054,0.0478,0.1136,0.8,7.0394,0.11364604937920847,46,-29958.070347,49.0,0.8014,10.3724,0.12197,0.02595,0.0008,0.0069,0.122,0.1253,4.8293,0.0259,0.6754,5.5361,0.12199924134318382,46.0,71.48545799999556,2.7930908272326814e-17,True,False
ENSG00000067842,ok,not_requested,ok,24,1213,276.0,0.0297,1.3789,0.0216,0.01987142857142857,0.8567623376623377,0.0163,231.0,-23402.758257,48,0.04307,3.28619,5.059841,0.3089,7.173,0.0004,0.0086,0.0431,0.0062,0.1438,0.0431,0.3023,7.0204,0.04306022448863313,46,-23377.030326,49.0,0.3075,7.2965,0.04676,0.00912,0.0004,0.0085,0.0468,0.0082,0.8945,0.0091,0.2988,6.3935,0.04673496519903026,46.0,51.455862000002526,7.322501014240313e-13,True,False
ENSG00000069849,ok,not_requested,ok,17,277,136.0,0.3151,1.0306,0.3058,0.1899295238095238,0.4806609523809524,0.411,105.0,-6284.629224,34,0.43571,2.02263,5.944617,1.4846,3.4074,0.0,0.0,0.4357,0.0271,0.0622,0.4357,1.4576,3.3454,0.435702756023196,32,-6282.728702,35.0,1.4839,3.4416,0.45656,0.25974,0.0,0.0,0.4566,0.1154,0.4443,0.2597,1.3684,2.9972,0.4565594554917924,32.0,3.80104399999982,0.05122063688725418,True,False
ENSG00000070061,timeout(3600s),not_requested,ok,23,1329,253.0,0.1497,0.8247,0.1815,0.08174095238095239,0.36664619047619046,0.22505,210.0,-28360.724163,46,0.21571,3.36128,4.565781,0.7457,3.4569,0.0015,0.0071,0.2157,0.0368,0.1708,0.2157,0.7073,3.2792,0.21569285191510126,44,,,,,,,,,,,,,,,,,,,,
ENSG00000071794,ok,not_requested,ok,24,1005,276.0,0.11,0.7985,0.1378,0.047985714285714284,0.32295627705627705,0.1428,231.0,-17425.600945,48,0.13894,2.82026,3.381618,0.4685,3.3716,0.0007,0.0049,0.1389,0.0332,0.2389,0.1389,0.4346,3.1276,0.1389563882849469,46,-17412.976358,49.0,0.4666,3.4368,0.14948,0.07036,0.0007,0.0047,0.1495,0.042,0.5963,0.0704,0.4239,2.8356,0.14949217096910708,46.0,25.249173999996856,5.038114163544895e-07,True,False
ENSG00000072201,ok,not_requested,ok,24,725,276.0,0.2613,2.8243,0.0925,0.0745025974025974,0.4849679653679654,0.1674,231.0,-16860.583454,48,0.15219,3.17497,6.580257,0.8779,5.7685,0.0019,0.0127,0.1522,0.0095,0.0626,0.1522,0.8668,5.6933,0.1522491349480969,46,-16849.914188,49.0,0.8715,6.7397,0.16198,0.07923,0.002,0.0125,0.162,0.2108,2.6611,0.0792,0.6587,4.0658,0.1620099365438536,46.0,21.338532000001578,3.8491642433474575e-06,True,False
ENSG00000074047,timeout(3600s),not_requested,ok,22,1562,231.0,0.1169,2.7837,0.042,0.06973473684210527,0.9197868421052632,0.06684999999999999,190.0,-37074.610733,44,0.1076,3.16027,7.199375,0.8851,8.2258,0.0014,0.0126,0.1076,0.0134,0.125,0.1076,0.87,8.088,0.10756676557863502,42,,,,,,,,,,,,,,,,,,,,
ENSG00000076053,ok,not_requested,ok,22,262,231.0,0.194,0.7168,0.2706,0.08747210526315789,0.42181894736842107,0.1585,190.0,-5812.054723,44,0.15557,2.2716,5.530011,0.7811,5.0212,0.0,0.0,0.1556,0.0403,0.259,0.1556,0.7409,4.7621,0.15558262111253437,42,-5811.229466,45.0,0.7802,5.0712,0.16035,0.11697,0.0,0.0,0.1604,0.089,0.761,0.117,0.691,4.31,0.1603248259860789,42.0,1.6505140000008396,0.19888898738585198,True,False
ENSG00000076242,ok,not_requested,ok,24,757,276.0,0.1362,1.7515,0.0778,0.04988831168831169,0.49903290043290044,0.1068,231.0,-17122.625651,48,0.15687,2.67098,5.618309,0.7623,4.8595,0.0007,0.0046,0.1569,0.0182,0.1157,0.1569,0.7433,4.739,0.15684743616796792,46,-17122.541838,49.0,0.7623,4.8776,0.15762,0.0001,0.0007,0.0046,0.1576,0.0,0.0416,0.0001,0.7618,4.8311,0.15768665521309846,46.0,0.16762599999492522,0.6822303325746604,True,False
ENSG00000076650,ok,not_requested,ok,24,931,276.0,0.1831,1.077,0.17,0.07187575757575758,0.4728995670995671,0.1681,231.0,-22031.116392,48,0.19392,2.47506,5.376995,0.8362,4.3122,0.0023,0.0117,0.1939,0.0231,0.119,0.1939,0.8113,4.1818,0.19400736524941414,46,-22031.110817,49.0,0.8362,4.3149,0.19412,0.13071,0.0023,0.0117,0.1941,0.003,0.0227,0.1307,0.8311999999999999,4.2804,0.19418745911597043,46.0,0.011149999998451676,0.915904834241075,True,False
ENSG00000077420,ok,not_requested,ok,21,659,210.0,0.1042,0.9534,0.1093,0.07104912280701754,0.4378543859649123,0.1626,171.0,-15186.587108,42,0.20628,2.32856,6.078346,0.967,4.6877,0.0015,0.0071,0.2063,0.0358,0.1733,0.2063,0.9299,4.5071,0.2063189190388498,40,-15186.587109,43.0,0.967,4.6877,0.20628,0.86224,0.0015,0.0071,0.2063,0.0,0.0,0.8622,0.9657,4.6804,0.206328518930006,40.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000078403,ok,not_requested,ok,24,1069,276.0,0.0721,0.6717,0.1074,0.04295670995670996,0.33724242424242423,0.1,231.0,-17696.444566,48,0.11756,2.5576,3.267094,0.3632,3.09,0.0006,0.0055,0.1176,0.014,0.119,0.1176,0.3488,2.9657999999999998,0.11760739092319106,46,-17696.444567,49.0,0.3632,3.09,0.11755,0.68961,0.0006,0.0055,0.1176,0.0,0.0,0.6896,0.3628,3.0848,0.11760892116182572,46.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000078808,ok,not_requested,ok,22,355,231.0,0.0956,1.5313,0.0624,0.08929157894736842,1.2056578947368422,0.0655,190.0,-7827.222737,44,0.06512,3.46823,7.156413,0.6328,9.7163,0.0016,0.0248,0.0651,0.0114,0.1756,0.0651,0.6198,9.516,0.06513240857503153,42,-7827.222739,45.0,0.6328,9.7163,0.06513,3.09583,0.0016,0.0248,0.0651,0.0,0.0,3.0958,0.6313,9.6915,0.06513955528040036,42.0,-3.99999953515362e-06,1.0,True,False
ENSG00000083307,ok,not_requested,ok,24,624,276.0,0.0463,0.8716,0.0532,0.024154112554112553,0.5100554112554112,0.0481,231.0,-10754.369829,48,0.05139,2.05671,3.847138,0.2453,4.7732,0.0003,0.0061,0.0514,0.0081,0.1576,0.0514,0.237,4.6092,0.051418901327779216,46,-10754.369831,49.0,0.2453,4.7731,0.05139,0.88706,0.0003,0.0061,0.0514,0.0,0.0,0.8871,0.2451,4.7667,0.05141922084460948,46.0,-4.0000013541430235e-06,1.0,True,False
ENSG00000083799,ok,not_requested,ok,23,952,253.0,0.0414,0.9256,0.0448,0.019942857142857144,0.3876661904761905,0.039650000000000005,210.0,-14632.292172,46,0.057,2.56983,3.303096,0.2043,3.5832,0.0005,0.0083,0.057,0.0156,0.2732,0.057,0.1886,3.3019,0.05711862866834247,44,-14632.292173,47.0,0.2043,3.5832,0.057,1.10555,0.0005,0.0083,0.057,0.0,0.0,1.1055,0.2042,3.5751,0.057117283432631255,44.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000083937,ok,not_requested,ok,24,213,276.0,0.0088,0.6328,0.0139,0.029767965367965367,0.352361038961039,0.0812,231.0,-4221.97474,48,0.10921,1.4959,4.071389,0.4711,4.3137,0.0011,0.0104,0.1092,0.0129,0.1184,0.1092,0.457,4.1849,0.10920213147267557,46,-4212.504822,49.0,0.4728,4.3602,0.11945,0.0001,0.0012,0.0101,0.1194,0.0,0.4022,0.0001,0.4716,3.9478,0.11945893915598561,46.0,18.93983599999956,1.3490607038453448e-05,True,False
