,adam_metallopeptidase,adamts_metallopeptidase,adrenoceptor,alcohol_dehydrogenase,aldehyde_dehydrogenase,aldo_keto_reductase,alkaline_phosphatase,arachidonate_lipoxygenase,arf_gtpase,carbonic_anhydrase,cxc_chemokine_receptor,cytochrome_p450,dopamine_receptor,ectonucleotide_pyrophosphatase,ferritin,flavin_monooxygenase,globins,glutamate_metabotropic,glutaredoxin,glutathione_peroxidase,glutathione_s_transferase,guanylate_binding_protein,heme_oxygenase,histamine_receptor,histone_deacetylase_classI,histone_h4,hox,m14_carboxypeptidase,matrix_metalloproteinase,metallothionein,muscarinic_receptor,nadph_oxidase,nitric_oxide_synthase,olfactory_receptors,opsins,p2y_receptor,peroxidase,peroxiredoxin,phosphodiesterase,rab_gtpase,ras_gtpases,rho_gtpase,serine_protease,serotonin_receptor,steap_metalloreductase,sulfotransferase,taste2_receptor,udp_glucuronosyltransferase
adam_metallopeptidase,0.0,0.042982280254364014,0.2576713562011719,0.10000079870223999,0.07556676864624023,0.08606940507888794,0.1565893292427063,0.10688859224319458,0.149908185005188,0.07304966449737549,0.2893235683441162,0.0778355598449707,0.21005815267562866,0.07763320207595825,0.2103745937347412,0.09526687860488892,0.12171834707260132,0.1551615595817566,0.10084962844848633,0.09535986185073853,0.07544469833374023,0.15196675062179565,0.139298677444458,0.16791033744812012,0.09808707237243652,0.5652029514312744,0.3190317153930664,0.057489097118377686,0.09615170955657959,0.13438022136688232,0.26883453130722046,0.10281246900558472,0.191828191280365,0.40918469429016113,0.1258528232574463,0.2612367272377014,0.10027569532394409,0.08788388967514038,0.06946539878845215,0.13696902990341187,0.14876478910446167,0.136508047580719,0.05949443578720093,0.22132790088653564,0.19630801677703857,0.08178544044494629,0.37560564279556274,0.11475032567977905
adamts_metallopeptidase,0.042982280254364014,0.0,0.246174156665802,0.142983078956604,0.09333997964859009,0.11881941556930542,0.11503016948699951,0.10167521238327026,0.18277466297149658,0.1160319447517395,0.27782636880874634,0.08992600440979004,0.1985609531402588,0.12061548233032227,0.22246503829956055,0.13824915885925293,0.13380879163742065,0.11217927932739258,0.14383190870285034,0.1280309557914734,0.11166954040527344,0.1797025203704834,0.1107664704322815,0.15641313791275024,0.14106935262680054,0.5772933959960938,0.2760494351387024,0.1004713773727417,0.09819012880325317,0.1559876799583435,0.2573373317718506,0.08868026733398438,0.14884591102600098,0.39768749475479126,0.13794326782226562,0.24973952770233154,0.05729341506958008,0.12330830097198486,0.11234396696090698,0.17995131015777588,0.17424172163009644,0.16198498010635376,0.06153285503387451,0.20983070135116577,0.19418615102767944,0.1247677206993103,0.36410844326019287,0.15773260593414307
adrenoceptor,0.2576713562011719,0.246174156665802,0.0,0.2426939606666565,0.20237445831298828,0.2278538942337036,0.24661749601364136,0.21226173639297485,0.20459026098251343,0.215742826461792,0.12687861919403076,0.17983579635620117,0.04761320352554321,0.22032636404037476,0.277338445186615,0.23796004056930542,0.2237185835838318,0.13399487733840942,0.24268901348114014,0.21794074773788452,0.20157933235168457,0.26961231231689453,0.24129891395568848,0.08976101875305176,0.24018043279647827,0.6482542157173157,0.16373449563980103,0.2001822590827942,0.21726477146148682,0.38089632987976074,0.0760849118232727,0.18314474821090698,0.219496488571167,0.24673974514007568,0.13181853294372559,0.10541945695877075,0.18888074159622192,0.23057705163955688,0.20225375890731812,0.20286571979522705,0.19605731964111328,0.1838005781173706,0.2238994836807251,0.07156610488891602,0.20227372646331787,0.2244786024093628,0.22584384679794312,0.25744348764419556
alcohol_dehydrogenase,0.10000079870223999,0.142983078956604,0.2426939606666565,0.0,0.060589373111724854,0.07109200954437256,0.14498484134674072,0.095284104347229,0.1349307894706726,0.05807226896286011,0.27434617280960083,0.06285816431045532,0.19508075714111328,0.04394710063934326,0.19539719820022583,0.0476154088973999,0.10674095153808594,0.15037661790847778,0.08587223291397095,0.08038246631622314,0.060467302799224854,0.13698935508728027,0.12432128190994263,0.15293294191360474,0.08310967683792114,0.550225555896759,0.3142467737197876,0.042511701583862305,0.08126002550125122,0.23438102006912231,0.2538571357727051,0.08783507347106934,0.18377715349197388,0.39420729875564575,0.11087542772293091,0.24625933170318604,0.09549075365066528,0.072906494140625,0.05448800325393677,0.12199163436889648,0.1337873935699463,0.12153065204620361,0.10692185163497925,0.20635050535202026,0.16531550884246826,0.06680804491043091,0.36062824726104736,0.08106422424316406
aldehyde_dehydrogenase,0.07556676864624023,0.09333997964859009,0.20237445831298828,0.060589373111724854,0.0,0.025479435920715332,0.09378331899642944,0.05496460199356079,0.10966372489929199,0.03363823890686035,0.23402667045593262,0.02253866195678711,0.15476125478744507,0.038221776485443115,0.15507769584655762,0.05585545301437378,0.06642144918441772,0.09093242883682251,0.06143820285797119,0.05594843626022339,0.0360332727432251,0.10241729021072388,0.08400177955627441,0.11261343955993652,0.05784261226654053,0.5099060535430908,0.2548025846481323,0.01807767152786255,0.056825995445251465,0.20994699001312256,0.21353763341903687,0.031238079071044922,0.1275990605354309,0.35388779640197754,0.0705559253692627,0.20593982934951782,0.03604656457901001,0.029968321323394775,0.01991593837738037,0.09672456979751587,0.10935336351394653,0.09709662199020386,0.06660234928131104,0.16603100299835205,0.14101111888885498,0.04237401485443115,0.32030874490737915,0.07533890008926392
aldo_keto_reductase,0.08606940507888794,0.11881941556930542,0.2278538942337036,0.07109200954437256,0.025479435920715332,0.0,0.11926275491714478,0.08044403791427612,0.12099939584732056,0.04414087533950806,0.25950610637664795,0.04801809787750244,0.1802406907081604,0.04872441291809082,0.18055713176727295,0.06635808944702148,0.09190088510513306,0.11641186475753784,0.0719408392906189,0.0664510726928711,0.0264551043510437,0.12305796146392822,0.10948121547698975,0.13809287548065186,0.06917828321456909,0.5353854894638062,0.28028202056884766,0.028580307960510254,0.06732863187789917,0.22044962644577026,0.2390170693397522,0.056717514991760254,0.15307849645614624,0.37936723232269287,0.09603536128997803,0.23141926527023315,0.06152600049972534,0.030813276767730713,0.04055660963058472,0.10806024074554443,0.11985599994659424,0.10759925842285156,0.09208178520202637,0.19151043891906738,0.1664905548095703,0.05287665128707886,0.3457881808280945,0.08584153652191162
alkaline_phosphatase,0.1565893292427063,0.11503016948699951,0.24661749601364136,0.14498484134674072,0.09378331899642944,0.11926275491714478,0.0,0.04970073699951172,0.1410762071609497,0.11803370714187622,0.2782697081565857,0.0821266770362854,0.19900429248809814,0.12261724472045898,0.15832459926605225,0.14025092124938965,0.06966835260391235,0.11262261867523193,0.14583367109298706,0.12023162841796875,0.1038702130317688,0.17190319299697876,0.11120980978012085,0.1568564772605896,0.1424713134765625,0.5131529569625854,0.27649277448654175,0.10247313976287842,0.11955565214157104,0.254091739654541,0.25778067111968994,0.08912360668182373,0.1467045545578003,0.3981308341026306,0.130143940448761,0.2501828670501709,0.057736754417419434,0.12375164031982422,0.10454463958740234,0.13935166597366333,0.13254326581954956,0.12028652429580688,0.09709489345550537,0.21027404069900513,0.1946294903755188,0.12676948308944702,0.3645517826080322,0.15973436832427979
arachidonate_lipoxygenase,0.10688859224319458,0.10167521238327026,0.21226173639297485,0.095284104347229,0.05496460199356079,0.08044403791427612,0.04970073699951172,0.0,0.12036740779876709,0.0683329701423645,0.2439139485359192,0.03242594003677368,0.16464853286743164,0.07291650772094727,0.13761579990386963,0.09055018424987793,0.048959553241729736,0.09926766157150269,0.09613293409347534,0.07053089141845703,0.05416947603225708,0.12220245599746704,0.09388905763626099,0.1225007176399231,0.09277057647705078,0.49244415760040283,0.2631378173828125,0.0527724027633667,0.06985491514205933,0.2043910026550293,0.22342491149902344,0.07576864957809448,0.12599575519561768,0.3637750744819641,0.08044320344924927,0.2158271074295044,0.044381797313690186,0.0831671953201294,0.054843902587890625,0.11864286661148071,0.11183446645736694,0.09957772493362427,0.04739415645599365,0.17591828107833862,0.15089839696884155,0.0770687460899353,0.3301960229873657,0.11003363132476807
arf_gtpase,0.149908185005188,0.18277466297149658,0.20459026098251343,0.1349307894706726,0.10966372489929199,0.12099939584732056,0.1410762071609497,0.12036740779876709,0.0,0.1079796552658081,0.23624247312545776,0.10004281997680664,0.15697705745697021,0.11256319284439087,0.10982698202133179,0.13019686937332153,0.07140785455703735,0.070595383644104,0.05276244878768921,0.06193786859512329,0.10769462585449219,0.17224913835525513,0.1345425844192505,0.11482924222946167,0.051821112632751465,0.46613258123397827,0.23446553945541382,0.0924190878868103,0.13116741180419922,0.2842884063720703,0.215753436088562,0.12309485673904419,0.1484440565109253,0.3561035990715027,0.14806008338928223,0.20815563201904297,0.1254812479019165,0.09676581621170044,0.08974778652191162,0.012939155101776123,0.013935685157775879,0.020789682865142822,0.14410650730133057,0.1682468056678772,0.15260225534439087,0.1139686107635498,0.3225245475769043,0.14968031644821167
carbonic_anhydrase,0.07304966449737549,0.1160319447517395,0.215742826461792,0.05807226896286011,0.03363823890686035,0.04414087533950806,0.11803370714187622,0.0683329701423645,0.1079796552658081,0.0,0.24739503860473633,0.03590703010559082,0.16812962293624878,0.03570467233657837,0.16844606399536133,0.05333834886550903,0.07978981733322144,0.12342548370361328,0.058921098709106445,0.05343133211135864,0.026203691959381104,0.10983645915985107,0.09737014770507812,0.12598180770874023,0.05615854263305664,0.5232744216918945,0.2872956395149231,0.015560567378997803,0.05430889129638672,0.2074298858642578,0.22690600156784058,0.06068217754364014,0.15682601928710938,0.36725616455078125,0.0839242935180664,0.21930819749832153,0.06853961944580078,0.0459553599357605,0.02733510732650757,0.09504050016403198,0.10683625936508179,0.09457951784133911,0.07997071743011475,0.17939937114715576,0.1543794870376587,0.039856910705566406,0.33367711305618286,0.07282179594039917
